Taxa,source,type,relabund
Bacteria-Proteobacteria,MVf12,diffuse fluids,0.0062
Bacteria-Betaproteobacteriales,MVf12,diffuse fluids,0.0001
Eukaryota-Opisthokonta,MVf12,diffuse fluids,0.0002
Eukaryota,MVf12,diffuse fluids,0
Archaea-Asgardaeota,MVf12,diffuse fluids,0
Bacteria-Acidobacteria,MVf12,diffuse fluids,0.0003
Eukaryota-Amoebozoa,MVf12,diffuse fluids,0
Bacteria-Aquificae,MVf12,diffuse fluids,0.0004
Archaea-Crenarchaeota,MVf12,diffuse fluids,0
Bacteria-Other,MVf12,diffuse fluids,0.0008
Archaea-Other,MVf12,diffuse fluids,0
Eukaryota-Other,MVf12,diffuse fluids,0.0002
Bacteria-Gammaproteobacteria,EMf2,diffuse fluids,0.4268
Bacteria-Alphaproteobacteria,EMf2,diffuse fluids,0.3861
Bacteria-Bacteroidetes,EMf2,diffuse fluids,0.0137
Bacteria-Epsilonbacteraeota,EMf2,diffuse fluids,0.0026
Bacteria-Deltaproteobacteria,EMf2,diffuse fluids,0.0152
Archaea-Thaumarchaeota,EMf2,diffuse fluids,0.014
Archaea-Euryarchaeota,EMf2,diffuse fluids,0.0172
Bacteria-Patescibacteria,EMf2,diffuse fluids,0.0004
Bacteria-Chloroflexi,EMf2,diffuse fluids,0.0004
Eukaryota-Alveolata,EMf2,diffuse fluids,0.0532
Eukaryota-Rhizaria,EMf2,diffuse fluids,0.0349
Bacteria,EMf2,diffuse fluids,0.0042
Bacteria-Actinobacteria,EMf2,diffuse fluids,0.0016
Bacteria-Proteobacteria,EMf2,diffuse fluids,0.0147
Bacteria-Betaproteobacteriales,EMf2,diffuse fluids,0.0006
Eukaryota-Opisthokonta,EMf2,diffuse fluids,0.0018
Eukaryota,EMf2,diffuse fluids,0.0012
Archaea-Asgardaeota,EMf2,diffuse fluids,0
Bacteria-Acidobacteria,EMf2,diffuse fluids,0.0001
Eukaryota-Amoebozoa,EMf2,diffuse fluids,0
Bacteria-Aquificae,EMf2,diffuse fluids,0.0001
Archaea-Crenarchaeota,EMf2,diffuse fluids,0
Bacteria-Other,EMf2,diffuse fluids,0.0025
Archaea-Other,EMf2,diffuse fluids,0
Eukaryota-Other,EMf2,diffuse fluids,0.0087
Bacteria-Gammaproteobacteria,ECf9,diffuse fluids,0.369
Bacteria-Alphaproteobacteria,ECf9,diffuse fluids,0.1205
Bacteria-Bacteroidetes,ECf9,diffuse fluids,0.0204
Bacteria-Epsilonbacteraeota,ECf9,diffuse fluids,0.0505
Bacteria-Deltaproteobacteria,ECf9,diffuse fluids,0.1453
Archaea-Thaumarchaeota,ECf9,diffuse fluids,0.0754
Archaea-Euryarchaeota,ECf9,diffuse fluids,0.0491
Bacteria-Patescibacteria,ECf9,diffuse fluids,0.0084
Bacteria-Chloroflexi,ECf9,diffuse fluids,0.0017
Eukaryota-Alveolata,ECf9,diffuse fluids,0.0078
Eukaryota-Rhizaria,ECf9,diffuse fluids,0.099
Bacteria,ECf9,diffuse fluids,0.0054
Bacteria-Actinobacteria,ECf9,diffuse fluids,0.0216
Bacteria-Proteobacteria,ECf9,diffuse fluids,0.0103
Bacteria-Betaproteobacteriales,ECf9,diffuse fluids,0.0014
Eukaryota-Opisthokonta,ECf9,diffuse fluids,0.0001
Eukaryota,ECf9,diffuse fluids,0.0001
Archaea-Asgardaeota,ECf9,diffuse fluids,0
Bacteria-Acidobacteria,ECf9,diffuse fluids,0.0007
Eukaryota-Amoebozoa,ECf9,diffuse fluids,0
Bacteria-Aquificae,ECf9,diffuse fluids,0.0005
Archaea-Crenarchaeota,ECf9,diffuse fluids,0.0001
Bacteria-Other,ECf9,diffuse fluids,0.012
Archaea-Other,ECf9,diffuse fluids,0.0002
Eukaryota-Other,ECf9,diffuse fluids,0.0006
Bacteria-Gammaproteobacteria,bkEC,background,0.3931
Bacteria-Alphaproteobacteria,bkEC,background,0.0913
Bacteria-Bacteroidetes,bkEC,background,0.0036
Bacteria-Epsilonbacteraeota,bkEC,background,0.0021
Bacteria-Deltaproteobacteria,bkEC,background,0.2037
Archaea-Thaumarchaeota,bkEC,background,0.0994
Archaea-Euryarchaeota,bkEC,background,0.0374
Bacteria-Patescibacteria,bkEC,background,0.0004
Bacteria-Chloroflexi,bkEC,background,0
Eukaryota-Alveolata,bkEC,background,0.0177
Eukaryota-Rhizaria,bkEC,background,0.0855
Bacteria,bkEC,background,0.0042
Bacteria-Actinobacteria,bkEC,background,0.0322
Bacteria-Proteobacteria,bkEC,background,0.0145
Bacteria-Betaproteobacteriales,bkEC,background,0.0009
Eukaryota-Opisthokonta,bkEC,background,0.0003
Eukaryota,bkEC,background,0.0002
Archaea-Asgardaeota,bkEC,background,0
Bacteria-Acidobacteria,bkEC,background,0.0009
Eukaryota-Amoebozoa,bkEC,background,0
Bacteria-Aquificae,bkEC,background,0
Archaea-Crenarchaeota,bkEC,background,0
Bacteria-Other,bkEC,background,0.012
Archaea-Other,bkEC,background,0
Eukaryota-Other,bkEC,background,0.0005
Bacteria-Gammaproteobacteria,bkEM,background,0.1309
Bacteria-Alphaproteobacteria,bkEM,background,0.1318
Bacteria-Bacteroidetes,bkEM,background,0.007
Bacteria-Epsilonbacteraeota,bkEM,background,0.0014
Bacteria-Deltaproteobacteria,bkEM,background,0.3483
Archaea-Thaumarchaeota,bkEM,background,0.1191
Archaea-Euryarchaeota,bkEM,background,0.0354
Bacteria-Patescibacteria,bkEM,background,0.0006
Bacteria-Chloroflexi,bkEM,background,0
Eukaryota-Alveolata,bkEM,background,0.0111
Eukaryota-Rhizaria,bkEM,background,0.0887
Bacteria,bkEM,background,0.0077
Bacteria-Actinobacteria,bkEM,background,0.0703
Bacteria-Proteobacteria,bkEM,background,0.0154
Bacteria-Betaproteobacteriales,bkEM,background,0.0022
Eukaryota-Opisthokonta,bkEM,background,0.0001
Eukaryota,bkEM,background,0.0003
Archaea-Asgardaeota,bkEM,background,0
Bacteria-Acidobacteria,bkEM,background,0.0027
Eukaryota-Amoebozoa,bkEM,background,0.0002
Bacteria-Aquificae,bkEM,background,0.0001
Archaea-Crenarchaeota,bkEM,background,0
Bacteria-Other,bkEM,background,0.0261
Archaea-Other,bkEM,background,0
Eukaryota-Other,bkEM,background,0.0005
Bacteria-Gammaproteobacteria,bkMV,background,0.1795
Bacteria-Alphaproteobacteria,bkMV,background,0.1265
Bacteria-Bacteroidetes,bkMV,background,0.0383
Bacteria-Epsilonbacteraeota,bkMV,background,0.0038
Bacteria-Deltaproteobacteria,bkMV,background,0.2956
Archaea-Thaumarchaeota,bkMV,background,0.0271
Archaea-Euryarchaeota,bkMV,background,0.0188
Bacteria-Patescibacteria,bkMV,background,0.0072
Bacteria-Chloroflexi,bkMV,background,0
Eukaryota-Alveolata,bkMV,background,0.0348
Eukaryota-Rhizaria,bkMV,background,0.0241
Bacteria,bkMV,background,0.0019
Bacteria-Actinobacteria,bkMV,background,0.0739
Bacteria-Proteobacteria,bkMV,background,0.0026
Bacteria-Betaproteobacteriales,bkMV,background,0.1196
Eukaryota-Opisthokonta,bkMV,background,0.0019
Eukaryota,bkMV,background,0.0004
Archaea-Asgardaeota,bkMV,background,0
Bacteria-Acidobacteria,bkMV,background,0.0016
Eukaryota-Amoebozoa,bkMV,background,0
Bacteria-Aquificae,bkMV,background,0.001
Archaea-Crenarchaeota,bkMV,background,0
Bacteria-Other,bkMV,background,0.0409
Archaea-Other,bkMV,background,0
Eukaryota-Other,bkMV,background,0.0005
